X--Trace 1::[V(4)],Y--Trace 1::[V(4)],,X--Trace 2::[I(R1)],Y--Trace 2::[I(R1)],,X--Trace 3::[P(R1)],Y--Trace 3::[P(R1)]
0.120729,15.9481,,0.120729,0.0531605,,0.120729,0.847811
0.120862,16.0058,,0.120862,0.0533528,,0.120862,0.853955
0.121012,16.0217,,0.121012,0.0534057,,0.121012,0.85565
0.121252,15.9697,,0.121252,0.0532325,,0.121252,0.850109
0.121481,15.8684,,0.121481,0.0528947,,0.121481,0.839355
0.1217,15.7559,,0.1217,0.0525197,,0.1217,0.827494
0.121872,15.666,,0.121872,0.0522202,,0.121872,0.818084
0.12204,15.5783,,0.12204,0.0519278,,0.12204,0.808948
0.122341,15.4226,,0.122341,0.0514088,,0.122341,0.792859
0.122862,15.1571,,0.122862,0.0505238,,0.122862,0.765795
0.123357,14.9091,,0.123357,0.049697,,0.123357,0.740939
0.123878,14.6524,,0.123878,0.0488414,,0.123878,0.715646
0.124399,14.4002,,0.124399,0.0480005,,0.124399,0.691216
0.124919,14.1523,,0.124919,0.0471742,,0.124919,0.667621
0.12544,13.9086,,0.12544,0.046362,,0.12544,0.644831
0.125961,13.6692,,0.125961,0.0455638,,0.125961,0.622819
0.126482,13.4338,,0.126482,0.0447794,,0.126482,0.601559
0.127003,13.2025,,0.127003,0.0440085,,0.127003,0.581024
0.127524,13.017,,0.127524,0.0433901,,0.127524,0.56481
0.128044,14.2916,,0.128044,0.0476385,,0.128044,0.680828
0.128468,15.4288,,0.128468,0.0514292,,0.128468,0.793488
0.12887,15.7953,,0.12887,0.0526511,,0.12887,0.831642
0.129117,15.9659,,0.129117,0.0532196,,0.129117,0.849699
0.129247,16.0106,,0.129247,0.0533685,,0.129247,0.854461
0.129389,16.0152,,0.129389,0.0533842,,0.129389,0.85496
0.129604,15.9604,,0.129604,0.0532012,,0.129604,0.849112
0.12981,15.8684,,0.12981,0.0528946,,0.12981,0.839352
0.130016,15.7623,,0.130016,0.0525411,,0.130016,0.828171
0.130182,15.6757,,0.130182,0.0522525,,0.130182,0.819097
0.130345,15.5908,,0.130345,0.0519693,,0.130345,0.810242
0.130621,15.4478,,0.130621,0.0514925,,0.130621,0.795444
0.131142,15.1818,,0.131142,0.050606,,0.131142,0.768292
0.131637,14.9334,,0.131637,0.049778,,0.131637,0.743354
0.132158,14.6763,,0.132158,0.048921,,0.132158,0.717979
0.132679,14.4236,,0.132679,0.0480787,,0.132679,0.693469
0.133199,14.1753,,0.133199,0.047251,,0.133199,0.669797
0.13372,13.9313,,0.13372,0.0464375,,0.13372,0.646933
0.134241,13.6914,,0.134241,0.0456381,,0.134241,0.62485
0.134762,13.4557,,0.134762,0.0448523,,0.134762,0.60352
0.135283,13.224,,0.135283,0.0440802,,0.135283,0.582918
0.135804,13.0033,,0.135804,0.0433443,,0.135804,0.563618
0.136324,14.1551,,0.136324,0.0471837,,0.136324,0.66789
0.136745,15.29,,0.136745,0.0509668,,0.136745,0.779283
0.137144,15.7438,,0.137144,0.0524795,,0.137144,0.826229
0.137395,15.9482,,0.137395,0.0531606,,0.137395,0.847816
0.137529,16.0058,,0.137529,0.0533528,,0.137529,0.853957
0.137679,16.0217,,0.137679,0.0534057,,0.137679,0.855649
0.137919,15.9698,,0.137919,0.0532325,,0.137919,0.85011
0.138148,15.8685,,0.138148,0.0528949,,0.138148,0.839362
0.138366,15.7559,,0.138366,0.0525197,,0.138366,0.827497
0.138538,15.666,,0.138538,0.0522202,,0.138538,0.818084
0.138707,15.5783,,0.138707,0.0519277,,0.138707,0.808946
